date,open,high,low,close
03092024 144500,58809.00000000,58851.00000000,58800.00000000,58850.99000000
03092024 145000,58850.99000000,58920.01000000,58850.00000000,58920.01000000
03092024 145500,58920.00000000,58930.01000000,58873.39000000,58876.01000000
03092024 150000,58876.01000000,58961.50000000,58846.00000000,58940.20000000
03092024 150500,58940.00000000,58940.00000000,58912.00000000,58912.00000000
03092024 151000,58912.00000000,58912.01000000,58877.01000000,58877.02000000
03092024 151500,58877.01000000,58947.00000000,58864.51000000,58925.58000000
03092024 152000,58925.58000000,58955.98000000,58908.00000000,58923.00000000
03092024 152500,58923.00000000,58923.01000000,58874.00000000,58874.00000000
03092024 153000,58874.01000000,58937.00000000,58836.87000000,58925.59000000
03092024 153500,58925.59000000,58927.67000000,58879.00000000,58879.00000000
03092024 154000,58879.00000000,58927.17000000,58879.00000000,58927.17000000
03092024 154500,58927.18000000,59020.63000000,58908.00000000,59010.00000000
03092024 155000,59010.01000000,59070.01000000,59010.00000000,59030.00000000
03092024 155500,59030.00000000,59195.63000000,59030.00000000,59181.00000000
03092024 160000,59180.99000000,59185.00000000,59102.00000000,59132.00000000
03092024 160500,59132.00000000,59132.01000000,59047.36000000,59054.99000000
03092024 161000,59054.99000000,59073.18000000,59036.80000000,59063.99000000
03092024 161500,59064.00000000,59064.00000000,58950.00000000,59014.99000000
03092024 162000,59014.99000000,59050.00000000,58995.65000000,59049.99000000
03092024 162500,59050.00000000,59080.47000000,59049.99000000,59078.94000000
03092024 163000,59078.94000000,59104.04000000,59042.47000000,59050.01000000
03092024 163500,59050.00000000,59050.00000000,58951.00000000,58981.10000000
03092024 164000,58981.10000000,59003.99000000,58954.00000000,59003.99000000
03092024 164500,59004.00000000,59040.00000000,59004.00000000,59035.01000000
03092024 165000,59035.02000000,59069.71000000,59027.00000000,59055.81000000
03092024 165500,59055.81000000,59058.00000000,59031.10000000,59053.99000000
03092024 170000,59053.99000000,59106.01000000,59053.99000000,59071.01000000
03092024 170500,59071.01000000,59071.01000000,59024.47000000,59024.48000000
03092024 171000,59024.48000000,59074.00000000,59019.00000000,59024.99000000
03092024 171500,59024.99000000,59025.00000000,58981.00000000,59016.00000000
03092024 172000,59016.00000000,59075.62000000,59015.99000000,59065.00000000
03092024 172500,59064.99000000,59086.00000000,59056.52000000,59072.00000000
03092024 173000,59072.01000000,59146.00000000,59057.34000000,59107.99000000
03092024 173500,59107.99000000,59200.00000000,59097.00000000,59189.07000000
03092024 174000,59189.07000000,59189.07000000,59118.10000000,59158.00000000
03092024 174500,59158.00000000,59194.00000000,59105.00000000,59190.00000000
03092024 175000,59189.99000000,59245.99000000,59189.99000000,59244.00000000
03092024 175500,59244.01000000,59254.81000000,59209.00000000,59218.98000000
03092024 180000,59218.98000000,59312.94000000,59212.00000000,59299.00000000
03092024 180500,59298.00000000,59350.00000000,59251.10000000,59274.00000000
03092024 181000,59274.00000000,59284.00000000,59213.12000000,59238.00000000
03092024 181500,59237.99000000,59238.00000000,59156.00000000,59193.99000000
03092024 182000,59193.99000000,59254.00000000,59186.04000000,59245.95000000
03092024 182500,59245.95000000,59245.96000000,59135.00000000,59135.01000000
03092024 183000,59135.01000000,59217.54000000,59135.01000000,59217.54000000
03092024 183500,59217.54000000,59320.14000000,59217.53000000,59230.96000000
03092024 184000,59230.95000000,59307.76000000,59230.95000000,59304.00000000
03092024 184500,59304.00000000,59304.01000000,59174.19000000,59206.01000000
03092024 185000,59206.01000000,59247.00000000,59188.00000000,59226.00000000
03092024 185500,59226.00000000,59226.01000000,59101.00000000,59122.58000000
03092024 190000,59122.59000000,59139.98000000,58789.93000000,58861.99000000
03092024 190500,58861.99000000,58881.10000000,58536.01000000,58620.01000000
03092024 191000,58620.01000000,58686.99000000,58500.00000000,58628.26000000
03092024 191500,58628.25000000,58628.25000000,58392.41000000,58444.00000000
03092024 192000,58444.00000000,58461.10000000,58239.63000000,58277.99000000
03092024 192500,58278.00000000,58400.00000000,58198.28000000,58398.99000000
03092024 193000,58398.99000000,58398.99000000,58150.02000000,58220.00000000
03092024 193500,58220.00000000,58229.00000000,58078.94000000,58196.95000000
03092024 194000,58196.96000000,58200.00000000,57884.00000000,57897.01000000
03092024 194500,57897.01000000,57980.99000000,57761.10000000,57927.01000000
03092024 195000,57927.00000000,58084.73000000,57840.00000000,58030.01000000
03092024 195500,58030.01000000,58135.00000000,57933.00000000,58043.00000000
03092024 200000,58043.00000000,58043.01000000,57783.40000000,57875.00000000
03092024 200500,57874.01000000,57972.82000000,57830.00000000,57868.02000000
03092024 201000,57868.01000000,57969.99000000,57853.00000000,57896.00000000
03092024 201500,57895.00000000,57924.79000000,57568.00000000,57731.00000000
03092024 202000,57731.00000000,57763.96000000,57588.00000000,57616.88000000
03092024 202500,57616.89000000,57751.99000000,57588.00000000,57672.84000000
03092024 203000,57672.84000000,57779.00000000,57630.00000000,57740.00000000
03092024 203500,57740.00000000,57920.00000000,57674.00000000,57875.88000000
03092024 204000,57875.89000000,57968.00000000,57828.00000000,57968.00000000
03092024 204500,57968.00000000,58018.00000000,57824.00000000,57834.01000000
03092024 205000,57834.01000000,57844.00000000,57700.00000000,57750.01000000
03092024 205500,57750.00000000,57843.03000000,57750.00000000,57784.00000000
03092024 210000,57784.01000000,57860.68000000,57721.10000000,57822.00000000
03092024 210500,57822.01000000,57897.00000000,57800.00000000,57806.00000000
03092024 211000,57805.99000000,57805.99000000,57651.12000000,57690.00000000
03092024 211500,57690.00000000,57787.00000000,57690.00000000,57732.99000000
03092024 212000,57733.00000000,57777.00000000,57632.03000000,57777.00000000
03092024 212500,57776.99000000,57800.00000000,57646.00000000,57725.00000000
03092024 213000,57725.01000000,57857.15000000,57707.25000000,57761.11000000
03092024 213500,57761.11000000,57811.10000000,57683.98000000,57731.11000000
03092024 214000,57731.10000000,57830.00000000,57691.10000000,57826.00000000
03092024 214500,57826.00000000,57924.00000000,57812.00000000,57880.00000000
03092024 215000,57880.00000000,57916.25000000,57834.00000000,57835.99000000
03092024 215500,57835.99000000,57840.00000000,57688.00000000,57737.99000000
03092024 220000,57737.99000000,57771.00000000,57680.08000000,57768.01000000
03092024 220500,57768.01000000,57789.00000000,57702.00000000,57768.54000000
03092024 221000,57768.55000000,57790.17000000,57655.81000000,57725.99000000
03092024 221500,57726.00000000,57830.00000000,57721.10000000,57789.00000000
03092024 222000,57789.00000000,57821.10000000,57680.00000000,57716.99000000
03092024 222500,57717.00000000,57794.00000000,57702.00000000,57708.00000000
03092024 223000,57707.99000000,57765.00000000,57680.00000000,57714.40000000
03092024 223500,57714.40000000,57790.02000000,57714.39000000,57728.95000000
03092024 224000,57728.95000000,57790.02000000,57680.00000000,57698.00000000
03092024 224500,57698.00000000,57807.00000000,57692.00000000,57786.00000000
03092024 225000,57786.01000000,57907.00000000,57786.01000000,57907.00000000
03092024 225500,57906.99000000,58034.00000000,57900.00000000,58028.00000000
03092024 230000,58028.00000000,58100.00000000,57909.22000000,57937.00000000
03092024 230500,57937.00000000,58005.99000000,57847.00000000,58005.99000000
03092024 231000,58005.99000000,58005.99000000,57908.73000000,57908.74000000
